Item Catagory,Item Description,Item Name,Sell,image
"Fixings, Adhesives & Sealants",Galvanised Clout Nails,Galv Sq Twist Nail 2.5Kg 30X3.75mm Tub,£14.95,
"Fixings, Adhesives & Sealants",Galvanised Clout Nails,1Kg Galv Elh Clout Nail 20X3.00mm,£9.95,
"Fixings, Adhesives & Sealants",Bright Round Wire Nails,Glv Round Wire Nail 2.5Kg 150X6.0mm Tub,£14.95,
"Fixings, Adhesives & Sealants",Bright Round Wire Nails,Bright Round Wire Nail-2.5KG 75X3.75MM,£12.95,
"Fixings, Adhesives & Sealants",Bright Round Wire Nails,Bright Round Wire Nail-2.5KG 65X3.35MM,£12.95,
"Fixings, Adhesives & Sealants",Bright Round Wire Nails,Bright Round Wire Nail-2.5KG 50X3.35MM,£12.95,
"Fixings, Adhesives & Sealants",Bright Round Wire Nails,Bright Round Wire Nail-2.5KG 100X4.5MM,£12.95,
"Fixings, Adhesives & Sealants",Decking Screws,75mm Decking Screws Tub (200),£14.95,
"Fixings, Adhesives & Sealants",Decking Screws,60mm Decking Screws Tub (350),£14.95,
"Fixings, Adhesives & Sealants",Decking Screws,50mm Decking Screws Tub (500),£16.95,
"Fixings, Adhesives & Sealants",Decking Screws,4.5 X 75mm - (200) Decking Screws,£8.95,
"Fixings, Adhesives & Sealants",Decking Screws,4.5 X 60mm - (200) Decking Screws,£8.95,
"Fixings, Adhesives & Sealants",Decking Screws,4.5 X 50mm - (200) Decking Screws,£8.95,
"Fixings, Adhesives & Sealants",Timber Drive,7mm X 250mm Timberdrive Screws (10),£9.95,
"Fixings, Adhesives & Sealants",Timber Drive,7mm X 200mm Timberdrive Screws (50),£26.95,
"Fixings, Adhesives & Sealants",Timber Drive,7mm X 150mm Timberdrive Screws (50),£18.95,
"Fixings, Adhesives & Sealants",Timber Drive,7mm X 100mm Timberdrive Screws (50),£12.95,
"Fixings, Adhesives & Sealants",Wood Screws,4x25mm Vortex Power Wood Screws (200),£4.95,
"Fixings, Adhesives & Sealants",Wood Screws,4x30mm Vortex Power Wood Screws (200),£4.95,
"Fixings, Adhesives & Sealants",Wood Screws,4x40mm Vortex Power Wood Screws (200),£5.95,
"Fixings, Adhesives & Sealants",Wood Screws,4x50mm Vortex Power Screws (200),£6.95,
"Fixings, Adhesives & Sealants",Wood Screws,4x70mm Vortex Power Wood Screws (100),£7.95,
"Fixings, Adhesives & Sealants",Wood Screws,5x40mm Vortex Power Wood Screws (200),£6.95,
"Fixings, Adhesives & Sealants",Wood Screws,5x50mm Vortex Power Wood Screws (200),£7.95,
"Fixings, Adhesives & Sealants",Wood Screws,5x60mm Vortex Power Wood Screws (200),£7.95,
"Fixings, Adhesives & Sealants",Wood Screws,5x70mm Vortex Power Wood Screws (200),£8.95,
